comment_raw,comment_preprocessing,label_sentimen
"Nurnabilah Zahroh aku cocok mba, muka ku berminyak. pke foundy focallur matte 2-5 jam .",nurnabilah zahroh cocok mba muka ku minyak pakai foundy focallur matte jam,netral
minyaknya parah ga kak mukanya kk?? jerawatan juga?? foundationnya tahan beneran?? makasih kak infonya,minyak parah kak muka kak jerawat foundationnya tahan beneran terima kasih kak info,netral
"Nurnabilah Zahroh cobain makeover matt, trs pake bedak tabur dlu sblm foundation, trs pake bedak lg tp tunggu bbrp menit biar foundationnya keserap muka dlu",nurnabilah zahroh cobain makeover matt pakai bedak tabur dlu sblm foundation pakai bedak lg tunggu menit biar foundationnya serap muka dlu,netral
Pake Revlon colour stay coba,pakai revlon colour stay coba,netral
Yg make over bagus kak.. hasilnya matte. Sy jg berminyakkk.. yg penting bedaknya di baking,make over bagus kak hasil matte minyak bedak baking,positif
kak kasi liat donk koleksi makeup nya.. taruh mana itu semua dan sebanyak apah? atau punya tempat sendiri buat nyimpen?,kak kasi lihat donk koleksi makeup nya taruh apah nyimpen,netral
#bantujawab kyk ny focallure produk china,kyk ny focallure produk china,netral
Ka tasya ini waterproof gak?,kak tasya waterproof,netral
foundationnya oksidasi engga??,foundationnya oksidasi engga,netral
Dan teman teman buat yang mau ikutan PO silahkan Ke https://shopee.co.id/raqiqahhumaimah ori import china all under 100k,teman teman ikut po silah ori import china all under k,netral
Kak tasya.. mohon izin saya screen shoot video kakak buat promosi saya jualan focallure biar semua org tahu bagaimana kehebatan productnya hehe,kak tasya mohon izin screen shoot video kakak promosi jual focallure biar orang hebat productnya hehe,netral
"racuuun pas nonton lgsng sambil pesen, bikin ga sabar sampe",racun pas nonton lgsng sen bikin sabar,netral
"bagus bangat review nya.. suka amat..  
frommalaysia",bagus bangat review nya suka frommalaysia,positif
ka tasya belajar dari mana cara make up nya astaga~ aku pake bedak aja masih jadi badut T^T,kak tasya ajar make up nya astaga pakai bedak badut t t,netral
gARA GARA KA TASYA SEKARANG GUE JADI KERACUNAN FOCALLURE UGGHHH PENGEN BORONG RASANYA,gara gara kak tasya racun focallure uggh borong,positif
"drinking game: take a shot every time she says ""gitu""",drinking game take a shot every time she says,netral
Bikin tutorial dong cara buat mengatasi foundation yang terlalu terang (salah beli) & tutorial makeup yg cakey,bikin tutorial atas foundation terang salah beli tutorial makeup cakey,positif
kakkk plis bikin skincare routine dong! hehe,kak plis bikin skincare routine hehe,netral
ahhh murah banget kak😍😍😍 ngilerr,ah murah banget kak ngilerr,positif
"Wkwk slalu ngakak kl liat ini,dah puluhan kali di play padahal..",tertawa slalu tertawa kl lihat dah puluh kali play,netral
belinya dimana ya?  aku cek online beda2 dan kirimnya dari luar negeri,beli mana ya cek online beda kirim negeri,positif
bulu matanyaaaaa😢😍😱 beli dimana kak bulu matanyaa?,bulu mata beli mana kak bulu matanyaa,positif
"langsung,,,embat ajha,,,focallur nya..biar samaan kaya kak tasya....ngeborong pokok nya,,,",langsung embat ajha focallur nya biar sama kaya kak tasya ngeborong pokok nya,positif
racun banget gilaa ngilerrrrrr. btw lo mirip banget sama Ana Kendrick,racun banget gilaa ngiler ngomong-ngomong lo banget ana kendrick,positif
beli produknya dimana sis ?,beli produk mana sis,positif
ini poduknya halal ??,poduknya halal,netral
Product China ka,product china kak,netral
@tasya farasya keturunan apa ?,farasya turun,netral
"ini sih bukan menor, tp elegan...",sih menor elegan,negatif
BAGUS BANGET GILAAAA MURAH PULA,bagus banget gila murah,positif
"Hayooo... berapa kali kak Tasya bilang ""bagus banget"" ???😂😂😂😂",hayo kali kak tasya bilang bagus banget,positif
Kayanya pke bulu mata ya . Gaaa cuma mke maskara . Soal ga d jelaskan hehehe,kaya pakai bulu mata ya mke maskara d tertawa,netral
Sumpah elo cakep bgt tasya like bgt,sumpah elo cakep banget tasya like banget,netral
aku jg dh pny bedak tabu sm fondation ny kak sade 3 powdernya focallure FACE,dh pny bedak tabu fondation ny kak sade powdernya focallure face,netral
Foundinya kalo beli dicina langsung 25rb lho ka. masuk indo kok mahal banget ya. karna bea cukai kayanya wkwkwkwk,foundinya beli cina langsung rb lho kak masuk indo mahal banget ya bea cukai kaya wkwkwkwk,negatif
kaka santik bgt aku like hidung ny m mata,kaka santik banget like hidung ny m mata,netral
"sya itu foundationnya aslinya keputihan gaksih? pgn beli foundie nya focallure tp masih bingung shade nya, please jawab ya galaw banget 😟",sya foundationnya asli putih gaksih beli foundie nya focallure bingung shade nya please ya galaw banget,negatif
"lucu bgt pas blng ""pengen jdi owner pabrik nya Focalure"" 😄😅😆👍 lucu.. humble ..😘",lucu banget pas blng jdi owner pabrik nya focalure lucu humble,netral
Kak!!!!! Bikin vlog kekkkkkk 😭😭😭😭,kak bikin vlog kek,netral
@ars_fashion : so so so so so so so so so so so so sooooo slow respon. nyebelin 😂,so so so so so so so so so so so so so slow respon nyebelin,positif
"Setiap nonton video tasya yang ada ngakak mulu 
Ini mua apa pelawak ya",nonton video tasya tertawa mulu mua lawak ya,netral
"kak foundationnya bisa buat kulit berminyak gak kak, ?
trus oxi gak, ?",kak foundationnya kulit minyak kak oxi,netral
foundation focallure oksidasi gak ya?,foundation focallure oksidasi ya,netral
cocok makeup wedding nih manglingin bangey,cocok makeup wedding manglingin bangey,netral
Arab kak,arab kak,netral
"halo, aku monica. kuliah di unmer malang, jurusan ilmu komunikasi. boleh minta waktunya sebentar untuk mengisi kuisioner untuk keperluan skripsi mengenai vlog tasya farasya focallure one brand tutorial :) https://docs.google.com/forms/d/1G-wFG_dkjX3B17pvIzBkEHXRYhuK97gZnaBultnqFy4/edit . terima kasih atas bantuannya^^",halo monica kuliah unmer malang jurus ilmu komunikasi sebentar isi kuisioner perlu skripsi vlog tasya farasya focallure one brand tutorial terima kasih bantu,netral
bikin review produk oriflame dong kak?? bagus apa nggak,bikin review produk oriflame kak bagus,positif
gw sekarang mau bedakan kaya kamu.,beda kaya,netral
video ter the best ka tasyaaaaa ❤❤❤,video ter the best kak tasya,netral
Ini manusia apa boneka sich unyu2 bngt cantik banget Bikin ngiriiii,manusia boneka sich unyu banget cantik banget bikin ngiri,positif
ok fixxxx...jatuh cnta ama ratu menor..suka..suka..suka..krn mnrt aq klo full face make up tu ya kyk gni..menor dkt klo hsil ny cntik gni mah d maafkan..hahaha,ok jatuh cnta ama ratu menor suka suka suka mnrt full face make up tu ya kyk gni menor dkt hsil ny cntik gni mah d maaf tertawa,negatif
kaka agamanya apa? BTW kaka cantik loh 😊,kaka agama ngomong-ngomong kaka cantik loh,positif
tasyaa mau dong dibikinin waterproof make up kayaknya belum ada yg bikin 😊😊,tasyaa dibikinin waterproof make up kayak bikin,netral
"""beli sekarang juga !!"" 😂😂
racun syekali kata2 ituhhhhh 😁😁😁
cantiikkkkkkk cantiiiikkkkkk..
gorgeous 😍😍😍",beli racun syekali ituh cantiik cantik gorgeous,positif
"racunn bangett ini mahhh , pengen beliiiii",racunn bangett mah beli,positif
"Ka sumpah racun banget.. Sampe ulang"" mulu video ini buat bener"" mastiin sebelum aku beli 😂😍😍😍",kak sumpah racun banget ulang mulu video bener mastiin beli,positif
"Hai semuanya, please bantuin jawab ya. Kalau aku mau beli Focallure offline kira kira bisa beli dimana ya?",hai please bantuin ya beli focallure offline beli mana ya,positif
"aduuuhh racuuunn, thanks sdh share produk murah yg keren banget 😁😁😁",aduhh racunn terima kasih sdh share produk murah keren banget,positif
kyknya dari US karna d situsnya patennya teregistradi di US (Nevada),kyknya us d situs paten teregistradi us nevada,netral
Ka tp kalo asli dr china nya murah banget ya 😅,kak asli china nya murah banget ya,positif
Ka sumpah keren bangetttttt...,kak sumpah keren banget,positif
seru banget ngomong nya heboh ..,seru banget ngomong nya heboh,netral
"Bangkehhhhhhhh, abis liat ini gue langsung search focallure dan order meskipun mesti PO 10 hariiiii. Aku padamu Cahhhh💕💕💕",bangkeh abis lihat langsung search focallure order mesti po pada cah,netral
"kak jadi pengen gara gara kaka, lucu deh ekspressinya",kak gara gara kaka lucu deh ekspressinya,netral
"Keracunan kak tasya,  langsung pesen yg dikirim langsung dari luar negeri,  lebih murah soalnya ada kit 9in 1 cuman 270n deh kalo ga salah itu udah lengkap satu muka.  Ga sabar nunggu paketnya walopun lama gapapa dehh yg penting focallure aku punya.  Ini link store nya buat temen2 yg mau cari  juga https://www.instagram.com/p/BTiWDfhD-kn/",racun kak tasya langsung sen kirim langsung negeri murah kit in cuman n deh salah lengkap muka sabar nunggu paket walopun gapapa dehh focallure link store nya temen cari,positif
"Ka Tasya mukanya terawat bgt, kalo buat yg wajah biasa gitu coveragenya gimana yahh 😂😂 ratchunn bgt dahhh",kak tasya muka awat banget wajah coveragenya gimana yahh ratchunn banget dah,netral
"gea ananda produk oriflame kualitasnya just so so sih, harganya sedikit pricey. Aku udah pernah coba beberapa. Mending produk lokal kayak pixy, wardah, makeover.",gea ananda produk oriflame kualitas just so so sih harga pricey coba mending produk lokal kayak pixy wardah makeover,netral
gea ananda iyaa bener kak,gea ananda iyaa bener kak,netral
"gea ananda oriflame sm Kaya bodyshop, biasa aja tapi over price",gea ananda oriflame kaya bodyshop over price,netral
Fitriani Nur Ibrahim nanya donggg emang kalo yg dikirim langsung dari luar itu jauh lebih murah ya? Dibanding olshop yg ready stock?,fitriani nur ibrahim nanya kirim langsung murah ya banding online shop ready stock,positif
Dewi Srihartati kalau q bli di shopee di sini https://shopee.co.id/misswaiting.id/785464139,dewi srihartati q bli shopee,netral
barangnya gimana mbak??,barang gimana mbak,netral
Fitriani Nur Ibrahim cek shopee,fitriani nur ibrahim cek shopee,netral
"aku baru kmrin mesen,  dan dikirim langsung dr luar negri. dr china langsung ya karna memang lbh murah tp biar gk rugi harus bli bnyk jd gk rugi amat gt..  seengganya beli 5 biji lah...",kmrin mesen kirim langsung negri china langsung ya lbh murah biar rugi bli rugi gt seengganya beli biji,positif
Cindy Kims pesen dimana alixpress bukan? Nama storenya apa,cindy kims sen mana alixpress nama storenya,netral
"Mellisa Agustina aku pesen di shopee. cari aja focallure...  memang mahal ongkirnya krna dikirim luar negri. jd biar gk rugi bli bnyk kayak blush on,  highlighter,  concealer ya pokoknya bli 5 seenggaknya biar kgk rugi hehe",mellisa agustina sen shopee cari focallure mahal ongkirnya krna kirim negri biar rugi bli kayak blush on highlighter concealer ya pokok bli enggak biar kgk rugi hehe,negatif
Cindy Kims ongkirny brp?,cindy kims ongkirny brp,netral
Cindy Kims ongkirny brp?,cindy kims ongkirny brp,netral
Cindy Kims iya q jg bli di shopee sepaket hargax 132.500 udh dpt 7 item,cindy kims iya q bli shopee paket hargax dpt item,netral
barangnya udah nyampe belum kak?,barang nyampe kak,netral
Beli dimn say langsung,beli dimn say langsung,positif
"Beli nya dimana? Kalo di ig/shopee apa nama olshopnya? ☺️
Yang tau please bagi info",beli nya mana ig shopee nama olshopnya please info,positif
ka tasya slalu sukses ngeracun yaaa. LUV,kak tasya slalu sukses ngeracun ya luv,positif
"""aku gamau bilang ini semua recommended, tapi emang ini semua recommended"" wkwkwkwkwk gila seru abis nontoninnya drtd kak 😘",gamau bilang rekomendasi rekomendasi wkwkwkwkwk gila seru abis nontoninnya drtd kak,positif
Kak setelah bbrp lama maskaranya waterproof ngga ya?? Kl waterproof aku mau beli..,kak maskara waterproof ya kl waterproof beli,positif
mirip kristen steward fix,kristen steward,netral
mirip kristen steward fix,kristen steward,netral
kak beli dimana??,kak beli mana,positif
menor aja cantik kak subhanallah😂😂,menor cantik kak subhanallah,negatif
aku juga beli lips matte nya warna chesnut uuuh wangi sekali bau colkattt recomend,beli lips matte nya warna chesnut uh wangi bau colkat recomend,positif
bagus bgttt eyeshadownya! 😍😭,bagus banget eyeshadownya,positif
sumpah aku ulang ulang terus vid ini 😂😂,sumpah ulang ulang vid,netral
focallure eyebrow gel beneran enak nggak sih? bantu jawab dong,focallure eyebrow gel beneran enak sih bantu,netral
"Haloo buat yg mau beli focallure via AliExpress tapi susah bayarnya, bisa chat aku yaa via dm IG: evanuzlaf 🙏🏻🙏🏻",haloo beli focallure via aliexpress susah bayar chat ya via dm ig evanuzlaf,positif
"barusan dapet inbox dari OL shop Taiwan produk focalure ini, terus cring cring kaya pernah denger gtu pas buka Youtube oh ternyata, ah langsung mupeng ga pake pikir panjang",barusan inbox ol shop taiwan produk focalure cring cring kaya denger gtu pas buka youtube oh ah langsung mupeng pakai pikir,netral
sumpah langsung panic buying dari tiongkok ikhlas ongkir mahal krn tetep aja lebih murah 😚😘🍺 terimakasih kakaaaak tasya canteeeekkk,sumpah langsung panic buying tiongkok ikhlas ongkir mahal tetep murah terimakasih kakak tasya cantek,negatif
Hidungnya ganahan,hidung ganahan,netral
"omg racun bgt, btw thank you ka...",ya ampun racun banget ngomong-ngomong thank you kak,positif
aduhhh kereeeeeennn hbizzzzz aku g sangkaaa beli di mana tolong info nya sis...pleasee...😰😰,aduh keren hbiz g sangka beli tolong info nya sis pleasee,positif
"i've tried the eye shadow, somehow keren bgt emang pigmentasinya, gampang di blend, dan murah 😆",i ve tried the eye shadow somehow keren banget pigmentasi gampang blend murah,positif
Kak mau nanya dong. Itu hasil eyeliner pen/spidolnya matte atau glossy?,kak nanya hasil eyeliner pen spidol matte glossy,netral
"""Kalian harus beli focallure eyeshadownya terutama, sekarang!"" Plis bgt gue lgsg pause close trus beli:( #konsumtif #racun",beli focallure eyeshadownya plis banget lgsg pause close beli,positif
Rara Is Awesome #bantujawab kata ka fatya ga waterproof,rara is awesome kak fatya waterproof,netral
Bisa beli via AliExpress sis bisa chat aku via dm IG: evanuzlaf yaa kalo perlu di bantu 🙏🏻,beli via aliexpress sis chat via dm ig evanuzlaf ya bantu,positif
eyebrow creamnya dia waterproof gak ka tasya ??,eyebrow creamnya waterproof kak tasya,netral
aduh idung nya pengen juga xD,aduh idung nya xd,netral
ih murceeee..  pengen 😍,ih murce,netral
"aku gak boong, aku beli foundation, liquid concealer dan eyeliner nya parah. Karena ini bener-bener mencuci otak haha😂😂",boong beli foundation liquid concealer eyeliner nya parah bener bener cuci otak tertawa,positif
bikin video makeup collection donggg,bikin video makeup collection,netral
racun 😭😭,racun,positif
Heboh ya kak 💞💞💞👌👌👌,heboh ya kak,netral
"bacot kak, gw kena racun hahaa",bacot kak kena racun hahaa,positif
suka suka sukaaaaaa!! Focallure ❤,suka suka suka focallure,positif
GIVEAWAY FOCALLUUUUUUREEEEEE 👻,giveaway focallure,netral
"Share info dikit ya kakk. Kalau mau belu focallure, di Aliexpress lebih murahh. Tapi datengnya emang agak lama. Metallic lipstick-nya cuma $1 lebih gitudehh",share info dikit ya kakk belu focallure aliexpress murahh datengnya metallic lipstick nya gitudehh,positif
kak eyelinernya waterproof gak?,kak eyelinernya waterproof,netral
huaaa tau murah2 gitu dr dulu beli merk ini semua. terlanjur beli merk lain yang harganya you know lah.,hua murah beli merk lanjur beli merk harga you know,positif
kak buat video tes ketahanannya dong seharian gmana dengan touchup or tanpa touchup😘,kak video tes tahan hari gmana touchup or touchup,netral
"""pliss bgt jgn bikin aku sesak nafas lg focallure..."" hahaha...aku jg sesak nafas liatnya 😁",tolong banget jgn bikin sesak nafas lg focallure tertawa sesak nafas liat,netral
asal mana kak?,kak,netral
buseeeettt putih bngt kaya hantu,buset putih banget kaya hantu,netral
foundationnya hasilnya matte gak sih? aku kulitnya berminyak nih cocok gak yaa pake itu? saran dong kak,foundationnya hasil matte sih kulit minyak cocok ya pakai saran kak,netral
product focallure ini beli dimana ka ?,product focallure beli mana kak,positif
"di shopee jg murah2 bangeet kalo pada mau yg free ongkir <333
https://shopee.co.id/FOCALLURE-9-PCS-Makeup-Set-Powder-Bag-Eyeliner-Mascara-i.10406568.197237586",shopee murah bangeet free ongkir,positif
jngn lupa kak buat video giveaway sepaket focallure hadiahnya hihiii😜😜,jngn lupa kak video giveaway paket focallure hadiah hihi,netral
Nura Yuniar iyaa bener murah biasanya aq beli yg d toko shoppe beda orang itu udh murah tp pas liat recommend qm tokox jauh lebihh murah dr sebelumnya,nura yuniar iyaa bener murah beli d toko shoppe beda orang murah pas lihat recommend qm tokox lebihh murah,positif
"""Dia ngga kayak batu kerasnya"" wkwkwkwkwk ngakak",kayak batu keras wkwkwkwkwk tertawa,netral
gabosen deh nonton ini terus:(,gabosen deh nonton,netral
Beneran ga sihhhh...abis Tasya kan pake apa aja udah luar biasa cantiknya....d jakarta beli d mana...,beneran sih abis tasya pakai cantik d jakarta beli d,positif
Tasya mw tny bli focallure nya online atau ada tokonya??,tasya mw tny bli focallure nya online toko,netral
kak makeup tutorial yg soft gtu dong:( jgn yg terlalu tebel/menor:(,kak makeup tutorial soft gtu jgn tebel menor,negatif
lebay nya pang jadi org ..,lebay nya pang orang,netral
"kak, found n liquid conceal nya kalo diolshop beli nya olshop mana? 
soalnya di olshop2 smua aku liat diatas 140rb an keatas>_<, pada korop nihh heeeeheh
atau kalo kk tau counter di kota medan dmna yaa?
plissss jawab ya kakak cwantiikkks😍😍😍😍",kak found n liquid conceal nya diolshop beli nya online shop online shop smua lihat atas rb an atas korop nihh heheh kak counter kota medan dmna ya plis ya kakak cwantiiks,positif
sumpah setiap kali liat video tasya serasa racun banget ama semua producknya pengen beli hahaaha,sumpah kali lihat video tasya serasa racun banget ama producknya beli hahaaha,positif
"waaah racunnn jd pengen borong semuanya 😁😁😁 btw liat di ig ada yg jual kosmetik @makesyouenvy an tasyafarasyafocallurecosmetic, itu os tasya bukan?",racun borong ngomong-ngomong lihat ig jual kosmetik an tasyafarasyafocallurecosmetic os tasya,positif
focallure emang murah + bagus aku nyobanya pertama beli di ARS_fashion krn kita 1 kota..,focallure murah bagus nyobanya beli ars fashion kota,positif
tengkyu udah bikin ini dari dulu pengen beli tapi gatau Bagus apa enggak,tengkyu bikin beli gatau bagus,positif
knp kkak begitu bergelora? 😂😂 jdi pengen belii 😂😂,knp kkak gelora jdi beli,positif
sumpah sepanjang liat video ini ngakak liat ekspresi kak tasya yg super duper excited sampek kepengen beli hahahhahha,sumpah lihat video tertawa lihat ekspresi kak tasya super duper excited sampek ken beli hahahhahha,positif
wkwkwk kak tasya lucu bgt tutorial one brand focallure nya 😂 saking seneng nya speechless bgt yak 😂,tertawa kak tasya lucu banget tutorial one brand focallure nya saking neng nya speechless banget yak,netral
kakk buat video full review tentang mascara focallure dong❤,kakk video full review mascara focallure,netral
Hasil akhirnya kyk cewek india sya,hasil kyk cewek india sya,netral
"sumpah ini si tasya bikin org pengen beli aja, pinter banget promosiin nya... duh kaya iklasn lejel home shopping.. hebohhhh tp bikin pengen beli...",sumpah si tasya bikin orang beli pinter banget promosiin nya duh kaya iklasn lejel home shopping heboh bikin beli,positif
gilaaakkk aku mau beli semuaa 😭😭 tanggung jawab ih tasyaaa,gilak beli semuaa tanggung ih tasya,positif
bulmat nya apaaa,bulmat nya,netral
Cantik banget hasil ahirnya sumpah,cantik banget hasil ahirnya sumpah,positif
"gajadiii kakk, udahh aku baca komen sblumnya heheee.
maaf kurang teliti, abiss excitedd bgt😛 suksees trus ya kak cantikk",gajadi kakk udahh baca komen sblumnya hehe maaf teliti abiss excitedd banget suksees ya kak cantikk,positif
"aaaah parah banget sih kak, suka bgt sm kak tasya. mau dong sekali-kali dimake up in sm kak tasyaaaaa 😞",ah parah banget sih kak suka banget kak tasya kali dimake up in kak tasya,positif
focallure brand china,focallure brand china,netral
"dokter gigi kesukaan aku, hehehe,,, suka banget sama warna lipstiknyaaa... cantiiiiikkk...",dokter gigi suka tertawa suka banget warna lipstik cantik,positif
OMG I luv this makeup. It looks so bold and u look stunning girl.,ya ampun i luv this makeup it looks so bold and u look stunning girl,positif
waahhh racun racun racuuunnnn !!!! aku beli semuaaaaaanyaaaaaaa gara2 kamuuuuuu hahaha,waah racun racun racun beli gara tertawa,positif
Anjirrr gue kira ini beauty vlogger luar:|,anjir beauty vlogger,netral
"""Gimana nih"" 😂😂",gimana,netral
"""aku mau jadi ownernya focallure"" wkwkkwkwkwkwkkwkwkkwkwkwkwkwkwkwkwk",ownernya focallure wkwkkwkwkwkwkkwkwkkwkwkwkwkwkwkwkwk,netral
FIX MAU BELI MAKSIMAL kaaaaaaaa,beli maksimal kak,positif
nonton ke 3xnya 😆,nonton xnya,netral
saya suka bangett semua tutorialnya.. Tasya juga kocak banget.. semua make upnya bagus dan cantik2 kayak Tasya Beautifull.. produknya  beli di mana ya dan caranya gimana.. tq ya.. GBU,suka bangett tutorial tasya kocak banget make upnya bagus cantik kayak tasya beautifull produk beli ya gimana tq ya gbu,positif
otw beli,jalan beli,positif
KA TASYA RACUUUUUN,kak tasya racun,netral
Luv! ❤,luv,positif
"Hey girl, really love watching your videos xx but I have been wanting to say that your foundation is way too light for your skin colour, not sure if its the lighting. But I hope whatever it is you can fix it soon, overall love your personality and content ^^",hey girl really love watching your videos xx but i have been wanting to say that your foundation is way too light for your skin colour not sure if its the lighting but i hope whatever it is you can it soon overall love your personality and content,positif
"kaa tasya,focallure foundationnya bagus ga buat oily skin trs tahan seharian ga ya?",kak tasya focallure foundationnya bagus oily skin tahan hari ya,positif
thanks banget Tasyaaaa!!! :*,terima kasih banget tasya,netral
kak itu smuanya aman ga sih? murah bgt hahaha,kak smuanya aman sih murah banget tertawa,positif
kagetnya itu bikin ngakak yaampun hahaha,kaget bikin tertawa yaampun tertawa,netral
mupeng bgt pngen beli tp kira2 ccok gak ya buat muka berminyak? please jawab dong ka tasya,mupeng banget pngen beli ccok ya muka minyak please kak tasya,positif
Gabriella Luciano gue jg...😂😂,gabriella luciano,netral
Jangan lupa mampir ke channel kami juga ya kak.. semoga bermanfaat😇 https://youtu.be/x1XtS0APl9g,lupa mampir channel ya kak moga manfaat,netral
UP UP. Iyaa itu utk jenis muka apa tasya & ketahanannya gmn,up up iyaa jenis muka tasya tahan gmn,netral
"https://shopfocallure.com/pages/focallure-company-profile 

FYI, guys. they from US and they claim all their products cruelty free! ❤❤",fyi guys they from us and they claim all their products cruelty free,netral
omg you're so beautiful even before the makeup 😄,ya ampun you re so beautiful even before the makeup,netral
kirain ngomong bahasa inggris😱 ternyataa kaget😓,kirain ngomong bahasa inggris ternyataa kaget,netral
"too bright, Tas",too bright tas,netral
MY FIANCE DOES MY MAKEUP KAAA😆😆😆❤,my fiance does my makeup kak,netral
collab sama suhay salim dongg,collab suhay salim dongg,netral
smart banget make up ny,smart banget make up ny,netral
Please bikinin giveaway pocallure nya 1 paket kaaaaa #pengenbanget 😢😢😢,please bikinin giveaway pocallure nya paket kak,netral
aaaaaahhh favorit,ah favorit,positif
Say yang pressed powdernya dipake nggak?,say pressed powdernya dipake,netral
kakak beli foccalur di daerah Surabaya dimana ya?,kakak beli foccalur daerah surabaya mana ya,positif
Make up termenor yang pernah aku suka.. Padahal aku gak suka make up yg terlalu nge jreng.. tp ka tasya kamu cantik banget aku suka,make up menor suka suka make up nge jreng kak tasya cantik banget suka,negatif
Kereen bngt,kereen banget,netral
"Aaaa telat bangett nontonnya karna ujian🤧🤧 ka tasyaa youre alwaysss stunningg❤❤ buat makeup yang heavy kekgini terus yaa kalo lagi nge review😂 biar bagusnya tu ""tegas"" gitu ga cuma nempel doang semoga tauu maksudku wkwk😂😂",a telat bangett nontonnya uji kak tasyaa youre always stunningg makeup heavy kekgini ya nge review biar bagus tu nempel doang moga maksud tertawa,positif
"Tebak berapa kali tasya bilang ""bagus banget"" di video ini... 😂",tebak kali tasya bilang bagus banget video,positif
waterproof gak tasy?,waterproof tasy,netral
kenapa gak nyantai banget kak tutorialnya -_- hehe tbh yaaa,nyantai banget kak tutorial hehe tbh ya,netral
Lucuukkk 😁😁,lucuuk,netral
"bikin pengen belii, sumpaah . hahahaha tp sukaakk sama semua videoo mu kak.. love ❤❤❤❤",bikin beli sumpaah hahahaha sukaakk videoo mu kak love,positif
kak di indonesia ada yang jual ga product ini?,kak indonesia jual product,netral
Ghurnita Ningrat Raja Intan nemu komen km dsini beb,ghurnita ningrat raja intan nemu komen km dsini beb,netral
China bukan?,china,netral
itu website distributor US nya sis. Produknya sendiri diproduksi di China,website distributor us nya sis produk produksi china,netral
Kaka boleh minta wa nya gak ? Untuk jadi narasumber aku mengenai Tasya Farasya .  Buat di skripsi aku ..,kaka wa nya narasumber tasya farasya skripsi,netral
foundationnya oxidize ga kak?,foundationnya oxidize kak,netral
kok kaya keputihan yah ?,kaya putih yah,negatif
sumpahh kak tasya rame benerrr 😂😂😂,sumpahh kak tasya rame bener,netral
"menurut kamu dari eyeshadow palettes nya yang warnanya bisa dibilang mendekati a.b modern renaissance palette yang manaaa? karna nyari yang okalan susah bangeet, review yang okalan dong kapan kapan kalo ketemu o.l shop yang juaal :')",eyeshadow palettes nya warna bilang dekat a b modern renaissance palette nyari okalan susah bangeet review okalan ketemu o l shop juaal,netral
"kak fyi aja eyebrow matic nya salah harga pas ditulis di description box, kakak blng 39.000 di video tpi di description box 48.00",kak fyi eyebrow matic nya salah harga pas tulis description box kakak blng video tpi description box,netral
"subscriber baru , ketagihannnn nontonin videonya euhhhh racun ngabisin kuota nih❤❤❤💜💚💛",subscriber tagih nontonin video euh racun ngabisin kuota,positif
suka sm make upx😘,suka make upx,positif
gue nnton nya juga mau triak-triak !!!!,nnton nya triak triak,netral
No make up aja udah cantik bangeet 😍,no make up cantik bangeet,positif
Kak foundienya bagusan itu atau La Girl?,kak foundienya bagus la girl,positif
eyeshadownya yang isi 9 sama 10 pigmentasinya sama ngga ya?,eyeshadownya isi pigmentasi ya,netral
"racun banget kak tasya 😂😂😂 langsung search tentang brand nya, foundationnya bagus gak sih kak? cakey?",racun banget kak tasya langsung search brand nya foundationnya bagus sih kak cakey,positif
kak review produk nya foccalure lagi dong kak yang lip matte crayon,kak review produk nya foccalure kak lip matte crayon,netral
Kak just miss one brand tutorial donk.,kak just miss one brand tutorial donk,netral
"makasih kak, akhir2 ini aku lg nyari produk yang bagus tapi murah buat make up wisuda aku..karna video ini bisa kebantu bangeett thank you sekali lagi😭😭😘😘",terima kasih kak lg nyari produk bagus murah make up wisuda video bantu bangeett thank you,positif
"Nyesel bgt baru sempet nonton., padahal kmren sempet dapet notifikasi video ini.. 
Baru kesampean nonton and lgs ngeborong focallure ini.. Gak sabar nunggu datengnya",nyesel banget sempet nonton kmren sempet notifikasi video sampean nonton and lgs ngeborong focallure sabar nunggu datengnya,positif
untung mbaknya cantik.kalau tidak serem mungkin he he he,untung mbak cantik rem he he he,positif
focallure itu produk cina atau hongkong gitu kalo di alibaba murah bgt gasegitu,focallure produk cina hongkong alibaba murah banget gasegitu,positif
"racun sekali jadi pengen punya semua 😂
 di tunggu give away nya 😁😁",racun tunggu give away nya,positif
cuman 88rb holang kaya,cuman rb holang kaya,netral
"halo, aku monica. kuliah di unmer malang, jurusan ilmu komunikasi. boleh minta waktunya sebentar untuk mengisi kuisioner untuk keperluan skripsi mengenai vlog tasya farasya focallure one brand tutorial :) https://docs.google.com/forms/d/1G-wFG_dkjX3B17pvIzBkEHXRYhuK97gZnaBultnqFy4/edit . terima kasih atas bantuannya^^",halo monica kuliah unmer malang jurus ilmu komunikasi sebentar isi kuisioner perlu skripsi vlog tasya farasya focallure one brand tutorial terima kasih bantu,netral
NGECES nihhh liat produkknya,ngeces lihat produkknya,netral
"Kak tasya!! 16 menit kurang panjang videonya :((,sukses selalu kak!;)",kak tasya menit video sukses kak,netral
"Kak lighting nya agak di redupin dong, ken keterangan jadi ga kelihatan warna nya😢",kak lighting nya redupin ken terang warna nya,netral
eye shadowny racun bgt 😭😭,eye shadowny racun banget,positif
Kak tasya omg remember me ga,kak tasya ya ampun remember me,netral
belinya di manaaaa,beli,positif
"Beli nya dimana ka?  
share dong",beli nya mana kak share,positif
cantik banget,cantik banget,positif
